date,direction,speed
2017-02-13,143,11.0
2017-02-14,149,12.0
2017-02-15,157,12.0
2017-02-16,123,12.0
2017-02-17,190,10.0
2017-02-18,160,9.0
2017-02-19,196,8.0
2017-02-20,211,8.0
2017-02-21,236,10.0
2017-02-22,240,13.0
2017-02-23,215,8.0
2017-02-24,215,10.0
2017-02-25,214,8.0
2017-02-26,146,9.0
2017-02-27,201,8.0
2017-02-28,144,10.0
2017-03-01,158,10.0
2017-03-02,182,10.0
2017-03-03,149,10.0
2017-03-04,216,10.0
2017-03-05,237,9.0
2017-03-06,200,10.0
2017-03-07,245,10.0
2017-03-08,239,12.0
2017-03-09,235,15.0
2017-03-10,327,16.0
2017-03-11,328,17.0
2017-03-12,327,15.0
2017-03-13,239,10.0
2017-03-14,193,8.0
2017-03-15,227,10.0
2017-03-16,318,11.0
2017-03-17,330,14.0
2017-03-18,283,13.0
2017-03-19,321,12.0
2017-03-20,191,11.0
2017-03-21,223,9.0
2017-03-22,266,9.0
2017-03-23,209,9.0
2017-03-24,222,9.0
2017-03-25,255,9.0
2017-03-26,222,9.0
2017-03-27,185,8.0
2017-03-28,198,9.0
2017-03-29,209,9.0
2017-03-30,259,9.0
2017-03-31,191,9.0
2017-04-01,259,10.0
2017-04-02,238,9.0
2017-04-03,284,8.0
2017-04-04,317,11.0
2017-04-05,310,10.0
2017-04-06,272,11.0
2017-04-07,289,11.0
2017-04-08,240,13.0
2017-04-09,257,8.0
2017-04-10,191,7.0
2017-04-11,221,8.0
2017-04-12,225,8.0
2017-04-13,269,9.0
2017-04-14,247,7.0
2017-04-15,222,8.0
2017-04-16,229,9.0
2017-04-17,259,9.0
2017-04-18,279,7.0
2017-04-19,242,8.0
2017-04-20,224,8.0
2017-04-21,244,9.0
2017-04-22,251,9.0
2017-04-23,312,12.0
2017-04-24,312,14.0
2017-04-25,323,16.0
2017-04-26,283,16.0
2017-04-27,313,13.0
2017-04-28,308,11.0
2017-04-29,314,12.0
2017-04-30,246,13.0
2017-05-01,281,12.0
2017-05-02,303,9.0
2017-05-03,274,9.0
2017-05-04,189,8.0
2017-05-05,218,8.0
2017-05-06,228,8.0
2017-05-07,273,9.0
2017-05-08,240,10.0
2017-05-09,290,9.0
2017-05-10,262,8.0
2017-05-11,299,7.0
2017-05-12,275,9.0
2017-05-13,242,8.0
2017-05-14,236,9.0
2017-05-15,236,5.0
2017-05-16,254,8.0
2017-05-17,276,9.0
2017-05-18,278,10.0
2017-05-19,274,12.0
2017-05-20,311,14.0
2017-05-21,305,14.0
2017-05-22,307,16.0
2017-05-23,298,13.0
2017-05-24,311,15.0
2017-05-25,299,14.0
2017-05-26,294,15.0
2017-05-27,292,13.0
2017-05-28,288,14.0
2017-05-29,286,15.0
2017-05-30,274,13.0
2017-05-31,226,11.0
2017-06-01,192,12.0
2017-06-02,179,11.0
2017-06-03,194,14.0
2017-06-04,193,11.0
2017-06-05,228,10.0
2017-06-06,202,10.0
2017-06-07,161,6.0
2017-06-08,266,6.0
2017-06-09,281,12.0
2017-06-10,274,18.0
2017-06-11,271,19.0
2017-06-12,262,19.0
2017-06-13,253,9.0
2017-06-14,233,10.0
2017-06-15,248,9.0
2017-06-16,278,9.0
2017-06-17,254,7.0
2017-06-18,234,8.0
2017-06-19,253,8.0
2017-06-20,232,10.0
2017-06-21,225,10.0
2017-06-22,255,12.0
2017-06-23,267,15.0
2017-06-24,272,18.0
2017-06-25,262,18.0
2017-06-26,246,20.0
2017-06-27,243,20.0
2017-06-28,239,22.0
2017-06-29,243,21.0
2017-06-30,260,21.0
2017-07-01,263,20.0
2017-07-02,266,17.0
2017-07-03,271,15.0
2017-07-04,263,13.0
2017-07-05,282,13.0
2017-07-06,277,10.0
2017-07-07,271,9.0
2017-07-08,294,8.0
2017-07-09,267,7.0
2017-07-10,213,8.0
2017-07-11,296,13.0
2017-07-12,301,10.0
2017-07-13,283,14.0
2017-07-14,264,16.0
2017-07-15,268,19.0
2017-07-16,265,19.0
2017-07-17,267,18.0
2017-07-18,257,23.0
2017-07-19,248,30.0
2017-07-20,248,30.0
2017-07-21,253,26.0
2017-07-22,259,19.0
2017-07-23,257,19.0
2017-07-24,267,18.0
2017-07-25,273,15.0
2017-07-26,269,17.0
2017-07-27,275,16.0
2017-07-28,277,15.0
2017-07-29,288,10.0
2017-07-30,273,8.0
2017-07-31,299,9.0
2017-08-01,276,11.0
2017-08-02,260,13.0
2017-08-03,265,18.0
2017-08-04,279,19.0
2017-08-05,284,17.0
2017-08-06,292,15.0
2017-08-07,299,10.0
2017-08-08,291,10.0
2017-08-09,298,9.0
2017-08-10,237,6.0
2017-08-11,305,10.0
2017-08-12,293,8.0
2017-08-13,226,6.0
2017-08-14,267,7.0
2017-08-15,235,8.0
2017-08-16,272,8.0
2017-08-17,227,8.0
2017-08-18,300,11.0
2017-08-19,298,16.0
2017-08-20,293,16.0
2017-08-21,269,17.0
2017-08-22,260,13.0
2017-08-23,289,8.0
2017-08-24,311,12.0
2017-08-25,297,12.0
2017-08-26,295,16.0
2017-08-27,296,14.0
2017-08-28,286,17.0
2017-08-29,261,20.0
2017-08-30,248,14.0
2017-08-31,219,10.0
2017-09-01,268,6.0
2017-09-02,264,7.0
2017-09-03,276,6.0
2017-09-04,212,10.0
2017-09-05,327,14.0
2017-09-06,328,13.0
2017-09-07,327,11.0
2017-09-08,189,6.0
2017-09-09,169,5.0
2017-09-10,220,7.0
2017-09-11,118,7.0
2017-09-12,168,8.0
2017-09-13,197,7.0
2017-09-14,170,10.0
2017-09-15,156,10.0
2017-09-16,213,12.0
2017-09-17,256,11.0
