date,direction,speed
2013-03-02,288,37.0
2013-03-03,291,17.0
2013-03-04,168,7.0
2013-03-05,287,14.0
2013-03-06,259,15.0
2013-03-07,226,15.0
2013-03-08,250,11.0
2013-03-09,274,23.0
2013-03-10,248,29.0
2013-03-11,294,26.0
2013-03-12,233,9.0
2013-03-13,230,18.0
2013-03-14,324,21.0
2013-03-15,248,8.0
2013-03-16,276,15.0
2013-03-17,235,13.0
2013-03-18,199,25.0
2013-03-19,284,18.0
2013-03-20,164,6.0
2013-03-21,299,25.0
2013-03-22,253,5.0
2013-03-23,312,18.0
2013-03-24,150,6.0
2013-03-25,217,10.0
2013-03-26,310,15.0
2013-03-27,180,10.0
2013-03-28,208,8.0
2013-03-29,295,12.0
2013-03-30,263,11.0
2013-03-31,53,10.0
2013-04-01,236,10.0
2013-04-02,171,13.0
2013-04-03,175,29.0
2013-04-04,310,14.0
2013-04-05,192,8.0
2013-04-06,174,22.0
2013-04-07,220,26.0
2013-04-08,281,32.0
2013-04-09,196,10.0
2013-04-10,304,15.0
2013-04-11,278,9.0
2013-04-12,279,12.0
2013-04-13,273,7.0
2013-04-14,200,19.0
2013-04-15,246,11.0
2013-04-16,227,13.0
2013-04-17,173,10.0
2013-04-18,117,11.0
2013-04-19,317,21.0
2013-04-20,222,11.0
2013-04-21,188,16.0
2013-04-22,290,17.0
2013-04-23,226,10.0
2013-04-24,197,21.0
2013-04-25,256,12.0
2013-04-26,227,14.0
2013-04-27,284,27.0
2013-04-28,289,20.0
2013-04-29,223,11.0
2013-04-30,252,9.0
2013-05-01,173,7.0
2013-05-02,277,15.0
2013-05-03,276,15.0
2013-05-04,262,12.0
2013-05-05,246,10.0
2013-05-06,230,12.0
2013-05-07,304,20.0
2013-05-08,310,18.0
2013-05-09,207,8.0
2013-05-10,187,10.0
2013-05-11,90,7.0
2013-05-12,200,8.0
2013-05-13,168,12.0
2013-05-14,186,9.0
2013-05-15,163,11.0
2013-05-16,164,6.0
2013-05-17,206,9.0
2013-05-18,203,9.0
2013-05-19,167,11.0
2013-05-20,172,15.0
2013-05-21,188,7.0
2013-05-22,181,12.0
2013-05-23,312,12.0
2013-05-24,183,10.0
2013-05-25,106,8.0
2013-05-26,182,10.0
2013-05-27,184,11.0
2013-05-28,179,20.0
2013-05-29,179,24.0
2013-05-30,210,17.0
2013-05-31,148,12.0
2013-06-01,158,11.0
2013-06-02,61,9.0
2013-06-03,180,7.0
2013-06-04,175,7.0
2013-06-05,165,8.0
2013-06-06,189,9.0
2013-06-07,133,9.0
2013-06-08,88,9.0
2013-06-09,213,10.0
2013-06-10,183,8.0
2013-06-11,145,9.0
2013-06-12,124,9.0
2013-06-13,108,7.0
2013-06-14,139,8.0
2013-06-15,189,6.0
2013-06-16,82,9.0
2013-06-17,167,8.0
2013-06-18,229,6.0
2013-06-19,226,8.0
2013-06-20,214,7.0
2013-06-21,193,9.0
2013-06-22,183,7.0
2013-06-23,195,9.0
2013-06-24,181,7.0
2013-06-25,162,8.0
2013-06-26,163,12.0
2013-06-27,48,12.0
2013-06-28,101,9.0
2013-06-29,95,8.0
2013-06-30,154,13.0
2013-07-01,177,15.0
2013-07-02,170,13.0
2013-07-03,175,17.0
2013-07-04,180,13.0
2013-07-05,193,13.0
2013-07-06,237,10.0
